datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),wind_speed (m/s),total_cloud_cover (0-1),total_precipitation (mm of water equivalent)
2024-02-29 00:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,13.34,10.81,6.24,1.00,0.30
2024-02-29 01:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,14.13,11.54,7.93,1.00,1.20
2024-02-29 02:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,13.75,10.13,8.57,1.00,2.55
2024-02-29 03:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,8.88,4.77,8.63,1.00,1.81
2024-02-29 04:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,7.32,3.37,8.35,1.00,0.71
2024-02-29 05:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,5.85,-0.85,9.13,0.42,0.03
2024-02-29 06:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,4.33,-4.05,9.22,0.00,0.00
2024-02-29 07:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,2.97,-5.62,8.47,0.00,0.00
2024-02-29 08:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,1.37,-7.11,7.53,0.00,0.00
2024-02-29 09:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,0.90,-7.05,6.25,0.00,0.00
2024-02-29 10:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,0.14,-8.23,5.65,0.00,0.00
2024-02-29 11:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,0.08,-8.17,4.95,0.00,0.00
2024-02-29 12:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,0.12,-8.31,4.85,0.00,0.00
2024-02-29 13:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,0.53,-9.61,6.85,0.44,0.00
2024-02-29 14:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,1.06,-9.48,6.57,0.83,0.00
2024-02-29 15:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,1.64,-9.36,6.49,1.00,0.00
2024-02-29 16:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,2.09,-9.59,6.43,1.00,0.00
2024-02-29 17:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,2.92,-9.60,6.34,0.98,0.00
2024-02-29 18:00:00,"(40.7127492, -74.0059945)",era5,17.92,-5.00,3.45,-9.64,6.28,1.00,0.00
