"month_year","Total_Accidents","Total_Pedestrian_Accidents","Total_Bicycle_Accidents","New.Miles","divvy_count","Population"
2013-03-01,3,NA,NA,NA,NA,2719141
2013-06-01,2,1,NA,NA,NA,2719141
2014-01-01,4,NA,NA,NA,25076,2725731
2014-02-01,2,NA,NA,NA,28087,2725731
2014-06-01,2,NA,NA,NA,346007,2725731
2014-08-01,2,NA,NA,NA,392117,2725731
2014-11-01,1,NA,NA,NA,113875,2725731
2015-01-01,7,NA,NA,NA,59278,2727066
2015-02-01,4,NA,NA,NA,35138,2727066
2015-04-01,5,NA,NA,NA,176228,2727066
2015-05-01,5,NA,NA,NA,301815,2727066
2015-06-01,8,NA,NA,NA,415847,2727066
2015-07-01,27,NA,NA,NA,533711,2727066
2015-08-01,963,2,5,NA,495029,2727066
2015-09-01,3222,18,29,NA,427095,2727066
2015-10-01,5957,24,22,NA,316512,2727066
2015-11-01,5549,26,21,NA,193791,2727066
2015-12-01,5189,25,21,NA,121062,2727066
2016-01-01,6025,28,9,NA,92839,2724344
2016-02-01,5447,24,8,NA,118120,2724344
2016-03-01,6414,36,14,NA,185954,2724344
2016-04-01,6304,23,20,NA,231635,2724344
2016-05-01,6851,23,21,NA,363319,2724344
2016-06-01,6083,29,32,NA,477873,2724344
2016-07-01,7194,34,36,NA,518093,2724344
2016-08-01,9622,39,62,NA,484524,2724344
2016-09-01,10086,46,64,NA,439194,2724344
2016-10-01,10856,71,62,NA,350194,2724344
2016-11-01,10274,67,46,NA,240408,2724344
2016-12-01,10866,50,12,NA,93230,2724344
2017-01-01,9134,58,25,NA,111942,2716723
2017-02-01,8986,62,18,NA,166343,2716723
2017-03-01,11000,55,19,NA,153406,2716723
2017-04-01,11112,69,51,NA,268662,2716723
2017-05-01,13080,85,54,NA,345988,2716723
2017-06-01,13962,103,96,NA,505164,2716723
2017-07-01,14908,135,129,NA,565142,2716723
2017-08-01,17027,192,195,NA,557639,2716723
2017-09-01,20143,277,297,NA,485489,2716723
2017-10-01,22462,348,233,NA,354104,2716723
2017-11-01,21137,298,125,NA,189739,2716723
2017-12-01,22377,299,65,NA,125396,2716723
2018-01-01,21174,346,57,NA,109706,2711069
2018-02-01,18830,265,47,NA,102949,2711069
2018-03-01,20953,260,79,NA,174488,2711069
2018-04-01,21596,274,106,NA,200112,2711069
2018-05-01,24584,294,220,NA,401150,2711069
2018-06-01,23758,260,238,NA,458419,2711069
2018-07-01,23047,266,294,NA,544703,2711069
2018-08-01,22708,272,316,NA,530755,2711069
2018-09-01,22298,299,258,NA,438112,2711069
2018-10-01,23118,311,178,NA,344940,2711069
2018-11-01,21160,287,99,NA,168774,2711069
2018-12-01,22483,374,70,NA,128972,2711069
2019-01-01,19995,257,46,NA,103272,2701423
2019-02-01,18840,264,45,NA,96186,2701423
2019-03-01,21802,270,79,NA,165611,2701423
2019-04-01,21169,256,128,NA,265310,2701423
2019-05-01,24142,283,166,NA,367457,2701423
2019-06-01,24161,301,226,NA,475394,2701423
2019-07-01,24100,284,305,NA,557315,2701423
2019-08-01,22556,278,300,NA,590184,2701423
2019-09-01,22233,289,264,5.6,493219,2701423
2019-10-01,22419,378,201,NA,371786,2701423
2019-11-01,21555,346,112,NA,177176,2701423
2019-12-01,21035,321,74,NA,155092,2701423
2020-01-01,19381,323,48,NA,143884,2693976
2020-02-01,20237,320,52,NA,139585,2693976
2020-03-01,14787,192,61,NA,143418,2693976
2020-04-01,9281,112,36,NA,84776,2693976
2020-05-01,14399,176,99,NA,200274,2693976
2020-06-01,16770,176,169,NA,343005,2693976
2020-07-01,19695,195,233,NA,551480,2693976
2020-08-01,19765,197,249,NA,622361,2693976
2020-09-01,17599,183,192,63.6,532958,2693976
2020-10-01,18023,205,135,NA,388653,2693976
2020-11-01,14747,168,88,NA,259716,2693976
2020-12-01,15301,150,52,NA,131573,2693976
2021-01-01,14683,155,40,NA,96834,2743329
2021-02-01,16684,135,14,NA,49622,2743329
2021-03-01,16259,179,71,NA,228496,2743329
2021-04-01,17408,156,106,NA,337230,2743329
2021-05-01,21164,194,148,NA,531633,2743329
