"month_year","total_volume","smoothed_volume","total_length_feet","total_length_miles","total_bike_counts","citi_bike_count","Population","Total_Injured","Total_Killed","Total_Pedestrians_Injured","Total_Pedestrians_Killed","Total_Cyclists_Injured","Total_Cyclists_Killed"
2010-01-01,1096415,NA,NA,NA,NA,NA,18365000,NA,NA,NA,NA,NA,NA
2010-02-01,557910,849192,NA,NA,NA,NA,18365000,NA,NA,NA,NA,NA,NA
2010-03-01,893251,1143100.66666667,2629.7213134975,0.498053279071496,NA,NA,18365000,NA,NA,NA,NA,NA,NA
2010-04-01,1978141,1695460.66666667,3355.3947474543,0.635491429442102,NA,NA,18365000,NA,NA,NA,NA,NA,NA
2010-05-01,2214990,1697057.66666667,21081.6687460485,3.99274029281222,NA,NA,18365000,NA,NA,NA,NA,NA,NA
2010-06-01,898042,1309299.66666667,57605.7401943683,10.9101780671152,NA,NA,18365000,NA,NA,NA,NA,NA,NA
2010-07-01,814867,742531,44901.7533383291,8.50411995044112,NA,NA,18365000,NA,NA,NA,NA,NA,NA
2010-08-01,514684,704733.333333333,7966.3169025911,1.50877214064225,NA,NA,18365000,NA,NA,NA,NA,NA,NA
2010-09-01,784649,1047419.33333333,5403.0825808347,1.02331109485506,NA,NA,18365000,NA,NA,NA,NA,NA,NA
2010-10-01,1842925,1171752.33333333,28860.7852825104,5.46605781865727,NA,NA,18365000,NA,NA,NA,NA,NA,NA
2010-11-01,887683,1059601.33333333,2803.6522189397,0.530994738435549,NA,NA,18365000,NA,NA,NA,NA,NA,NA
2010-12-01,448196,581111.666666667,9592.0129317666,1.81666911586489,NA,NA,18365000,NA,NA,NA,NA,NA,NA
2011-01-01,407456,491594.666666667,NA,NA,NA,NA,18421000,NA,NA,NA,NA,NA,NA
2011-02-01,619132,661565.333333333,NA,NA,NA,NA,18421000,NA,NA,NA,NA,NA,NA
2011-03-01,958108,1294667.66666667,NA,NA,NA,NA,18421000,NA,NA,NA,NA,NA,NA
2011-04-01,2306763,1319365,2630.8021825769,0.498257989124413,NA,NA,18421000,NA,NA,NA,NA,NA,NA
2011-05-01,693224,1333753.33333333,2036.37026463,0.385676186482955,NA,NA,18421000,NA,NA,NA,NA,NA,NA
2011-06-01,1001273,669919.333333333,10687.9551380725,2.02423392766525,NA,NA,18421000,NA,NA,NA,NA,NA,NA
2011-07-01,315261,684409.333333333,9590.78908657728,1.81643732700327,NA,NA,18421000,NA,NA,NA,NA,NA,NA
2011-08-01,736694,600906.666666667,4218.8326643075,0.799021337937026,NA,NA,18421000,NA,NA,NA,NA,NA,NA
