"Month","Total_Volume_ADT","Total_Volume_AM_PEAK","Total_Volume_PM_PEAK","month_year","year","total_length_feet","total_length_miles","bay_wheels_count","Population","Total_Killed","Total_Injured","Total_Accidents","Total_Pedestrians_Killed","Total_Pedestrians_Injured","Total_Pedestrian_Accidents","Total_Bicyclists_Killed","Total_Bicyclists_Injured","Total_Bicyclist_Accidents"
"2014-01",210077,16871,15687,2014-01-01,2014,3.14038972,0.00059477078030303,NA,850750,2,282,230,1,61,60,0,34,34
"2014-02",4328,248,460,2014-02-01,2014,3.14038972,0.00059477078030303,NA,850750,5,276,232,3,87,85,0,29,28
"2014-03",49413,3800,3535,2014-03-01,2014,3.14038972,0.00059477078030303,NA,850750,2,296,233,1,59,59,1,33,33
"2014-04",172055,11481,12081,2014-04-01,2014,3.14038972,0.00059477078030303,NA,850750,1,266,223,1,48,44,0,52,51
"2014-05",187953,12675,13744,2014-05-01,2014,3.14038972,0.00059477078030303,NA,850750,4,306,255,2,59,58,1,46,47
"2014-08",44955,3139,3576,2014-08-01,2014,3.14038972,0.00059477078030303,NA,850750,2,331,235,2,57,57,0,47,47
"2014-09",3432939,75953,80544,2014-09-01,2014,3.14038972,0.00059477078030303,NA,850750,2,329,272,2,59,56,0,52,50
"2014-10",827414,14225,14696,2014-10-01,2014,3.14038972,0.00059477078030303,NA,850750,3,376,317,2,90,86,0,61,61
"2015-01",701616,56447,59258,2015-01-01,2015,2.40012914,0.000454569912878788,NA,863010,1,308,248,0,75,71,0,33,33
"2015-02",225700,16169,17508,2015-02-01,2015,2.40012914,0.000454569912878788,NA,863010,0,269,209,0,44,41,0,35,34
"2015-03",77700,5742,5899,2015-03-01,2015,2.40012914,0.000454569912878788,NA,863010,3,314,258,1,51,49,1,41,41
"2015-05",0,0,0,2015-05-01,2015,2.40012914,0.000454569912878788,NA,863010,2,317,240,2,44,44,0,37,37
"2015-06",367905,25711,28023,2015-06-01,2015,2.40012914,0.000454569912878788,NA,863010,5,309,248,3,55,55,1,40,40
"2015-07",460889,32079,35193,2015-07-01,2015,2.40012914,0.000454569912878788,NA,863010,4,349,281,3,70,60,0,58,56
"2015-08",230346,12959,14968,2015-08-01,2015,2.40012914,0.000454569912878788,NA,863010,3,315,261,2,50,51,0,42,42
"2015-09",405085,33743,35104,2015-09-01,2015,2.40012914,0.000454569912878788,NA,863010,2,340,278,1,74,65,0,51,50
"2015-10",2246255,149165,157707,2015-10-01,2015,2.40012914,0.000454569912878788,NA,863010,2,374,302,1,79,75,1,56,52
"2015-11",616675,42451,43933,2015-11-01,2015,2.40012914,0.000454569912878788,NA,863010,5,311,251,4,76,70,0,31,31
"2015-12",1727,201,124,2015-12-01,2015,2.40012914,0.000454569912878788,NA,863010,2,294,245,1,75,73,1,30,31
"2016-01",184368,12682,14733,2016-01-01,2016,2.99343348,0.000566938159090909,NA,871512,2,300,251,2,85,83,0,33,33
"2016-02",681015,48555,49605,2016-02-01,2016,2.99343348,0.000566938159090909,NA,871512,2,354,283,2,64,63,0,42,42
"2016-03",46882,4055,4092,2016-03-01,2016,2.99343348,0.000566938159090909,NA,871512,5,366,309,3,93,89,0,33,32
"2016-04",107897,10852,12573,2016-04-01,2016,2.99343348,0.000566938159090909,NA,871512,1,365,274,0,64,57,0,41,41
"2016-05",102068,7397,8494,2016-05-01,2016,2.99343348,0.000566938159090909,NA,871512,3,310,254,1,46,44,0,38,38
"2016-06",173903,14017,14793,2016-06-01,2016,2.99343348,0.000566938159090909,NA,871512,3,339,251,1,54,54,2,38,39
"2016-07",6926,580,664,2016-07-01,2016,2.99343348,0.000566938159090909,NA,871512,2,299,243,0,46,45,0,37,37
"2016-08",175952,12902,13386,2016-08-01,2016,2.99343348,0.000566938159090909,NA,871512,2,337,263,1,58,54,0,40,39
"2016-09",491323,43087,43552,2016-09-01,2016,2.99343348,0.000566938159090909,NA,871512,1,379,309,1,72,70,0,50,50
"2016-10",169188,14389,18851,2016-10-01,2016,2.99343348,0.000566938159090909,NA,871512,1,392,316,1,81,78,0,43,42
"2016-11",367345.5,32594,31827,2016-11-01,2016,2.99343348,0.000566938159090909,NA,871512,2,359,291,2,80,77,0,48,47
"2016-12",106124,8854,9587,2016-12-01,2016,2.99343348,0.000566938159090909,NA,871512,4,363,284,1,81,80,1,22,21
"2017-01",233088,21253,22244,2017-01-01,2017,4.18488302,0.000792591481060606,NA,878040,1,366,299,1,114,108,0,25,25
"2017-03",91208,6095,6539,2017-03-01,2017,4.18488302,0.000792591481060606,NA,878040,2,380,300,2,81,78,0,56,55
"2017-04",251252,18534,20759,2017-04-01,2017,4.18488302,0.000792591481060606,NA,878040,2,344,271,1,66,64,1,30,31
"2017-05",218390,19382,20658,2017-05-01,2017,4.18488302,0.000792591481060606,NA,878040,0,363,295,0,67,61,0,40,40
"2017-06",105057,8367,8961,2017-06-01,2017,4.18488302,0.000792591481060606,2689,878040,2,357,290,0,58,54,1,48,49
"2017-07",239409,16862,17296,2017-07-01,2017,4.18488302,0.000792591481060606,44073,878040,1,378,304,0,62,59,0,44,41
"2017-08",494386,47191,44569,2017-08-01,2017,4.18488302,0.000792591481060606,83292,878040,3,343,278,2,47,47,0,45,45
"2017-09",365647,34449,32207,2017-09-01,2017,4.18488302,0.000792591481060606,98558,878040,3,349,276,3,59,59,0,48,47
